Institution,Professor Name (Original),Author ID,Paper Type,Paper Title,Year,Citation Count,Semantic Scholar URL,Final Link,Abstract,processed_text,cluster_id,kw1,kw2,kw3
NU,Bahador Bahmani,101566577,Most Recent,A Physics-informed Multi-resolution Neural Operator,2025.0,1,https://www.semanticscholar.org/paper/a32a49c9f380d6f14ea43365eede6bba218d6235,https://doi.org/10.48550/arXiv.2510.23810,"The predictive accuracy of operator learning frameworks depends on the quality and quantity of available training data (input-output function pairs), often requiring substantial amounts of high-fidelity data, which can be challenging to obtain in some real-world engineering applications. These datasets may be unevenly discretized from one realization to another, with the grid resolution varying across samples. In this study, we introduce a physics-informed operator learning approach by extending the Resolution Independent Neural Operator (RINO) framework to a fully data-free setup, addressing both challenges simultaneously. Here, the arbitrarily (but sufficiently finely) discretized input functions are projected onto a latent embedding space (i.e., a vector space of finite dimensions), using pre-trained basis functions. The operator associated with the underlying partial differential equations (PDEs) is then approximated by a simple multi-layer perceptron (MLP), which takes as input a latent code along with spatiotemporal coordinates to produce the solution in the physical space. The PDEs are enforced via a finite difference solver in the physical space. The validation and performance of the proposed method are benchmarked on several numerical examples with multi-resolution data, where input functions are sampled at varying resolutions, including both coarse and fine discretizations.","A Physics-informed Multi-resolution Neural Operator The predictive accuracy of operator learning frameworks depends on the quality and quantity of available training data (input-output function pairs), often requiring substantial amounts of high-fidelity data, which can be challenging to obtain in some real-world engineering applications. These datasets may be unevenly discretized from one realization to another, with the grid resolution varying across samples. In this study, we introduce a physics-informed operator learning approach by extending the Resolution Independent Neural Operator (RINO) framework to a fully data-free setup, addressing both challenges simultaneously. Here, the arbitrarily (but sufficiently finely) discretized input functions are projected onto a latent embedding space (i.e., a vector space of finite dimensions), using pre-trained basis functions. The operator associated with the underlying partial differential equations (PDEs) is then approximated by a simple multi-layer perceptron (MLP), which takes as input a latent code along with spatiotemporal coordinates to produce the solution in the physical space. The PDEs are enforced via a finite difference solver in the physical space. The validation and performance of the proposed method are benchmarked on several numerical examples with multi-resolution data, where input functions are sampled at varying resolutions, including both coarse and fine discretizations.",1,operator learning,solver physical,grid resolution
NU,Bahador Bahmani,101566577,Most Recent,Neural Chaos: A Spectral Stochastic Neural Operator,2025.0,3,https://www.semanticscholar.org/paper/b8ce3db9259b9da01275b2a7cabf058863692334,https://doi.org/10.1016/j.jcp.2025.114233,ABSTRACT_MISSING_FALLBACK_TO_TITLE,Neural Chaos: A Spectral Stochastic Neural Operator ABSTRACT_MISSING_FALLBACK_TO_TITLE,6,chaos spectral,stochastic neural,operator abstract_missing_fallback_to_title
NU,Bahador Bahmani,101566577,Most Recent,A Review on Data-Driven Constitutive Laws for Solids,2024.0,68,https://www.semanticscholar.org/paper/2ab7f97e2a05ef15363a45a6267c342a5e44ef2c,https://doi.org/10.1007/s11831-024-10196-2,"This review article highlights state-of-the-art data-driven techniques to discover, encode, surrogate, or emulate constitutive laws that describe the path-independent and path-dependent response of solids. Our objective is to provide an organized taxonomy to a large spectrum of methodologies developed in the past decades and to discuss the benefits and drawbacks of the various techniques for interpreting and forecasting mechanics behavior across different scales. Distinguishing between machine-learning-based and model-free methods, we further categorize approaches based on their interpretability and on their learning process/type of required data, while discussing the key problems of generalization and trustworthiness. We attempt to provide a road map of how these can be reconciled in a data-availability-aware context. We also touch upon relevant aspects such as data sampling techniques, design of experiment, verification, and validation.","A Review on Data-Driven Constitutive Laws for Solids This review article highlights state-of-the-art data-driven techniques to discover, encode, surrogate, or emulate constitutive laws that describe the path-independent and path-dependent response of solids. Our objective is to provide an organized taxonomy to a large spectrum of methodologies developed in the past decades and to discuss the benefits and drawbacks of the various techniques for interpreting and forecasting mechanics behavior across different scales. Distinguishing between machine-learning-based and model-free methods, we further categorize approaches based on their interpretability and on their learning process/type of required data, while discussing the key problems of generalization and trustworthiness. We attempt to provide a road map of how these can be reconciled in a data-availability-aware context. We also touch upon relevant aspects such as data sampling techniques, design of experiment, verification, and validation.",2,data driven,laws solids,forecasting mechanics
NU,Bahador Bahmani,101566577,Most Recent,A Resolution Independent Neural Operator,2024.0,20,https://www.semanticscholar.org/paper/d97c4f1c3c29748d950e7dcab31c0f0f827f5ada,https://doi.org/10.48550/arXiv.2407.13010,"The Deep Operator Network (DeepONet) is a powerful neural operator architecture that uses two neural networks to map between infinite-dimensional function spaces. This architecture allows for the evaluation of the solution field at any location within the domain but requires input functions to be discretized at identical locations, limiting practical applications. We introduce a general framework for operator learning from input-output data with arbitrary sensor locations and counts. This begins by introducing a resolution-independent DeepONet (RI-DeepONet), which handles input functions discretized arbitrarily but sufficiently finely. To achieve this, we propose two dictionary learning algorithms that adaptively learn continuous basis functions, parameterized as implicit neural representations (INRs), from correlated signals on arbitrary point clouds. These basis functions project input function data onto a finite-dimensional embedding space, making it compatible with DeepONet without architectural changes. We specifically use sinusoidal representation networks (SIRENs) as trainable INR basis functions. Similarly, the dictionary learning algorithms identify basis functions for output data, defining a new neural operator architecture: the Resolution Independent Neural Operator (RINO). In RINO, the operator learning task reduces to mapping coefficients of input basis functions to output basis functions. We demonstrate RINO's robustness and applicability in handling arbitrarily sampled input and output functions during both training and inference through several numerical examples.","A Resolution Independent Neural Operator The Deep Operator Network (DeepONet) is a powerful neural operator architecture that uses two neural networks to map between infinite-dimensional function spaces. This architecture allows for the evaluation of the solution field at any location within the domain but requires input functions to be discretized at identical locations, limiting practical applications. We introduce a general framework for operator learning from input-output data with arbitrary sensor locations and counts. This begins by introducing a resolution-independent DeepONet (RI-DeepONet), which handles input functions discretized arbitrarily but sufficiently finely. To achieve this, we propose two dictionary learning algorithms that adaptively learn continuous basis functions, parameterized as implicit neural representations (INRs), from correlated signals on arbitrary point clouds. These basis functions project input function data onto a finite-dimensional embedding space, making it compatible with DeepONet without architectural changes. We specifically use sinusoidal representation networks (SIRENs) as trainable INR basis functions. Similarly, the dictionary learning algorithms identify basis functions for output data, defining a new neural operator architecture: the Resolution Independent Neural Operator (RINO). In RINO, the operator learning task reduces to mapping coefficients of input basis functions to output basis functions. We demonstrate RINO's robustness and applicability in handling arbitrarily sampled input and output functions during both training and inference through several numerical examples.",1,deep operator,clouds basis,locations counts
NU,Bahador Bahmani,101566577,Most Recent,Geometry-Informed Data-Driven Mechanics,2024.0,0,https://www.semanticscholar.org/paper/db29b742fcc7ad51101a48e5c773871986922f2e,https://doi.org/10.7916/x6qt-4981,ABSTRACT_MISSING_FALLBACK_TO_TITLE,Geometry-Informed Data-Driven Mechanics ABSTRACT_MISSING_FALLBACK_TO_TITLE,6,mechanics abstract_missing_fallback_to_title,geometry informed,data driven
NU,Bahador Bahmani,101566577,Most Recent,Physics‐constrained symbolic model discovery for polyconvex incompressible hyperelastic materials,2023.0,22,https://www.semanticscholar.org/paper/2374782ae42dd7fc15dbf8234cc5e0702baf6826,https://arxiv.org/pdf/2310.04286,"We present a machine learning framework capable of consistently inferring mathematical expressions of hyperelastic energy functionals for incompressible materials from sparse experimental data and physical laws. To achieve this goal, we propose a polyconvex neural additive model (PNAM) that enables us to express the hyperelastic model in a learnable feature space while enforcing polyconvexity. An upshot of this feature space obtained via the PNAM is that (1) it is spanned by a set of univariate basis functions that can be re‐parametrized with a more complex mathematical form, and (2) the resultant elasticity model is guaranteed to fulfill the polyconvexity, which ensures that the acoustic tensor remains elliptic for any deformation. To further improve the interpretability, we use genetic programming to convert each univariate basis into a compact mathematical expression. The resultant multi‐variable mathematical models obtained from this proposed framework are not only more interpretable but are also proven to fulfill physical laws. By controlling the compactness of the learned symbolic form, the machine learning‐generated mathematical model also requires fewer arithmetic operations than its deep neural network counterparts during deployment. This latter attribute is crucial for scaling large‐scale simulations where the constitutive responses of every integration point must be updated within each incremental time step. We compare our proposed model discovery framework against other state‐of‐the‐art alternatives to assess the robustness and efficiency of the training algorithms and examine the trade‐off between interpretability, accuracy, and precision of the learned symbolic hyperelastic models obtained from different approaches. Our numerical results suggest that our approach extrapolates well outside the training data regime due to the precise incorporation of physics‐based knowledge.","Physics‐constrained symbolic model discovery for polyconvex incompressible hyperelastic materials We present a machine learning framework capable of consistently inferring mathematical expressions of hyperelastic energy functionals for incompressible materials from sparse experimental data and physical laws. To achieve this goal, we propose a polyconvex neural additive model (PNAM) that enables us to express the hyperelastic model in a learnable feature space while enforcing polyconvexity. An upshot of this feature space obtained via the PNAM is that (1) it is spanned by a set of univariate basis functions that can be re‐parametrized with a more complex mathematical form, and (2) the resultant elasticity model is guaranteed to fulfill the polyconvexity, which ensures that the acoustic tensor remains elliptic for any deformation. To further improve the interpretability, we use genetic programming to convert each univariate basis into a compact mathematical expression. The resultant multi‐variable mathematical models obtained from this proposed framework are not only more interpretable but are also proven to fulfill physical laws. By controlling the compactness of the learned symbolic form, the machine learning‐generated mathematical model also requires fewer arithmetic operations than its deep neural network counterparts during deployment. This latter attribute is crucial for scaling large‐scale simulations where the constitutive responses of every integration point must be updated within each incremental time step. We compare our proposed model discovery framework against other state‐of‐the‐art alternatives to assess the robustness and efficiency of the training algorithms and examine the trade‐off between interpretability, accuracy, and precision of the learned symbolic hyperelastic models obtained from different approaches. Our numerical results suggest that our approach extrapolates well outside the training data regime due to the precise incorporation of physics‐based knowledge.",1,hyperelastic models,polyconvex neural,constrained symbolic
NU,Bahador Bahmani,101566577,Most Recent,Distance-preserving manifold denoising for data-driven mechanics,2023.0,10,https://www.semanticscholar.org/paper/2d3b2979aeef050412a91cd2ee0567be4ad5388d,https://www.sciencedirect.com/science/article/am/pii/S0045782522008131,ABSTRACT_MISSING_FALLBACK_TO_TITLE,Distance-preserving manifold denoising for data-driven mechanics ABSTRACT_MISSING_FALLBACK_TO_TITLE,6,manifold denoising,mechanics abstract_missing_fallback_to_title,distance
NU,Bahador Bahmani,101566577,Most Recent,Discovering interpretable elastoplasticity models via the neural polynomial method enabled symbolic regressions,2023.0,23,https://www.semanticscholar.org/paper/61f1e3550ccb6795b7e9ef7e1b1d67a5c8ce3089,https://arxiv.org/pdf/2307.13149,ABSTRACT_MISSING_FALLBACK_TO_TITLE,Discovering interpretable elastoplasticity models via the neural polynomial method enabled symbolic regressions ABSTRACT_MISSING_FALLBACK_TO_TITLE,0,interpretable elastoplasticity,regressions abstract_missing_fallback_to_title,neural polynomial
NU,Bahador Bahmani,101566577,Most Recent,Synthesizing controlled microstructures of porous media using generative adversarial networks and reinforcement learning,2022.0,66,https://www.semanticscholar.org/paper/64ba788e015b5fb9479a78fe925731e0a289f72e,https://www.nature.com/articles/s41598-022-12845-7.pdf,"For material modeling and discovery, synthetic microstructures play a critical role as digital twins. They provide stochastic samples upon which direct numerical simulations can be conducted to populate material databases. A large ensemble of simulation data on synthetic microstructures may provide supplemental data to inform and refine macroscopic material models, which might not be feasible from physical experiments alone. However, synthesizing realistic microstructures with realistic microstructural attributes is highly challenging. Thus, it is often oversimplified via rough approximations that may yield an inaccurate representation of the physical world. Here, we propose a novel deep learning method that can synthesize realistic three-dimensional microstructures with controlled structural properties using the combination of generative adversarial networks (GAN) and actor-critic (AC) reinforcement learning. The GAN-AC combination enables the generation of microstructures that not only resemble the appearances of real specimens but also yield user-defined physical quantities of interest (QoI). Our validation experiments confirm that the properties of synthetic microstructures generated by the GAN-AC framework are within a 5% error margin with respect to the target values. The scientific contribution of this paper resides in the novel design of the GAN-AC microstructure generator and the mathematical and algorithmic foundations therein. The proposed method will have a broad and substantive impact on the materials community by providing lenses for analyzing structure-property-performance linkages and for implementing the notion of ‘materials-by-design’.","Synthesizing controlled microstructures of porous media using generative adversarial networks and reinforcement learning For material modeling and discovery, synthetic microstructures play a critical role as digital twins. They provide stochastic samples upon which direct numerical simulations can be conducted to populate material databases. A large ensemble of simulation data on synthetic microstructures may provide supplemental data to inform and refine macroscopic material models, which might not be feasible from physical experiments alone. However, synthesizing realistic microstructures with realistic microstructural attributes is highly challenging. Thus, it is often oversimplified via rough approximations that may yield an inaccurate representation of the physical world. Here, we propose a novel deep learning method that can synthesize realistic three-dimensional microstructures with controlled structural properties using the combination of generative adversarial networks (GAN) and actor-critic (AC) reinforcement learning. The GAN-AC combination enables the generation of microstructures that not only resemble the appearances of real specimens but also yield user-defined physical quantities of interest (QoI). Our validation experiments confirm that the properties of synthetic microstructures generated by the GAN-AC framework are within a 5% error margin with respect to the target values. The scientific contribution of this paper resides in the novel design of the GAN-AC microstructure generator and the mathematical and algorithmic foundations therein. The proposed method will have a broad and substantive impact on the materials community by providing lenses for analyzing structure-property-performance linkages and for implementing the notion of ‘materials-by-design’.",1,learning gan,material models,microstructures porous
NU,Bahador Bahmani,101566577,Most Recent,Journal of the Mechanics and Physics of Solids,2022.0,34,https://www.semanticscholar.org/paper/fd071dc08d551e47f0fff2d2ad974c1cbde327b8,https://www.semanticscholar.org/paper/fd071dc08d551e47f0fff2d2ad974c1cbde327b8,ABSTRACT_MISSING_FALLBACK_TO_TITLE,Journal of the Mechanics and Physics of Solids ABSTRACT_MISSING_FALLBACK_TO_TITLE,5,solids abstract_missing_fallback_to_title,journal mechanics,physics solids
NU,Brenna Argall,1836885,Most Cited,Robotics and autonomous systems,1988.0,3887,https://www.semanticscholar.org/paper/54d47af5a99eb31ce0d9b38edd0d03022be34841,https://doi.org/10.1016/0921-8890(88)90002-4,ABSTRACT_MISSING_FALLBACK_TO_TITLE,Robotics and autonomous systems ABSTRACT_MISSING_FALLBACK_TO_TITLE,6,systems abstract_missing_fallback_to_title,robotics autonomous,systems
NU,Brenna Argall,1836885,Most Cited,Integration of Auditory and Visual Information about Objects in Superior Temporal Sulcus,2004.0,756,https://www.semanticscholar.org/paper/944c94be8449fb446a094870665adc90819004bd,http://www.cell.com/article/S0896627304000704/pdf,ABSTRACT_MISSING_FALLBACK_TO_TITLE,Integration of Auditory and Visual Information about Objects in Superior Temporal Sulcus ABSTRACT_MISSING_FALLBACK_TO_TITLE,5,auditory visual,superior temporal,sulcus abstract_missing_fallback_to_title
NU,Brenna Argall,1836885,Most Cited,Unraveling multisensory integration: patchy organization within human STS multisensory cortex,2004.0,539,https://www.semanticscholar.org/paper/cebcaa2769d2726153c11227a53282fa891146d3,https://doi.org/10.1038/nn1333,ABSTRACT_MISSING_FALLBACK_TO_TITLE,Unraveling multisensory integration: patchy organization within human STS multisensory cortex ABSTRACT_MISSING_FALLBACK_TO_TITLE,0,multisensory cortex,abstract_missing_fallback_to_title,organization
NU,Brenna Argall,1836885,Most Cited,A survey of Tactile Human-Robot Interactions,2010.0,318,https://www.semanticscholar.org/paper/5d5dcde48bc49450b8546adc83fe5a30d38a96b1,https://infoscience.epfl.ch/record/143457/files/article_published.pdf,ABSTRACT_MISSING_FALLBACK_TO_TITLE,A survey of Tactile Human-Robot Interactions ABSTRACT_MISSING_FALLBACK_TO_TITLE,5,tactile human,robot interactions,interactions abstract_missing_fallback_to_title
NU,Brenna Argall,1836885,Most Cited,SUMA: an interface for surface-based intra- and inter-subject analysis with AFNI,2004.0,232,https://www.semanticscholar.org/paper/32566694886f3df0c814f4224c6ed0b84b447bac,https://doi.org/10.1109/ISBI.2004.1398837,"Surface-based brain imaging analysis is increasingly being used for detailed analysis of the topology of brain activation patterns and changes in cerebral gray matter. Here we present SUMA, a new interface for visualizing and performing surface-based brain imaging analysis that is tightly coupled to AFNI - a volume-based brain imaging analysis suite. The interactive part of SUMA is used for rapid and interactive surface and data visualization, access and manipulations with direct link to the volumetric data rendered in AFNI. The batch-mode part of SUMA allows for surface based operations such as geometry and data smoothing, surface to volume domain mapping in both directions and node-based statistical and computational tools. We also present methods for mapping low resolution functional data onto the cortical surface while preserving the topological information present in the volumetric data and detail an efficient procedure for performing cross-subject, surface-based analysis with minimal interpolation of the functional data.","SUMA: an interface for surface-based intra- and inter-subject analysis with AFNI Surface-based brain imaging analysis is increasingly being used for detailed analysis of the topology of brain activation patterns and changes in cerebral gray matter. Here we present SUMA, a new interface for visualizing and performing surface-based brain imaging analysis that is tightly coupled to AFNI - a volume-based brain imaging analysis suite. The interactive part of SUMA is used for rapid and interactive surface and data visualization, access and manipulations with direct link to the volumetric data rendered in AFNI. The batch-mode part of SUMA allows for surface based operations such as geometry and data smoothing, surface to volume domain mapping in both directions and node-based statistical and computational tools. We also present methods for mapping low resolution functional data onto the cortical surface while preserving the topological information present in the volumetric data and detail an efficient procedure for performing cross-subject, surface-based analysis with minimal interpolation of the functional data.",1,brain imaging,afni surface,interactive suma
NU,Brenna Argall,1836885,Most Cited,Simplified intersubject averaging on the cortical surface using SUMA,2006.0,202,https://www.semanticscholar.org/paper/d219044f14d472356de20eb8cfc10dafcca5ad7d,https://europepmc.org/articles/pmc6871368?pdf=render,ABSTRACT_MISSING_FALLBACK_TO_TITLE,Simplified intersubject averaging on the cortical surface using SUMA ABSTRACT_MISSING_FALLBACK_TO_TITLE,0,averaging cortical,simplified intersubject,suma abstract_missing_fallback_to_title
