professor_name,institution,n_papers,top_factories,top_keywords,top_papers,prof_text
John A. Rogers,NU,20,"['Thermal-Fluid & Transport Phenomena', 'Materials & Solid Mechanics', 'Systems, Education & Interdisciplinary', 'Robotics & Intelligent Systems', 'Biomedical & Biomechanical Engineering']","['3d mesostructures', 'stretchable electronics', 'compressive buckling', 'abstract_missing_fallback_to_title', 'soft microfluidic', 'wearable microfluidic', 'integrated wearable', 'fractal design', 'haptic interfaces', 'wireless optogenetics']","['Soft Microfluidic Assemblies of Sensors, Circuits, and Radios for the Skin', 'A soft, wearable microfluidic device for the capture, storage, and colorimetric sensing of sweat', 'Bio-Integrated Wearable Systems: A Comprehensive Review.']","Research areas: Thermal-Fluid & Transport Phenomena, Materials & Solid Mechanics, Systems, Education & Interdisciplinary. Key topics: 3d mesostructures, stretchable electronics, compressive buckling, abstract_missing_fallback_to_title, soft microfluidic, wearable microfluidic. Representative papers: Soft Microfluidic Assemblies of Sensors, Circuits, and Radios for the Skin."
John Rudnicki,NU,20,"['Thermal-Fluid & Transport Phenomena', 'Systems, Education & Interdisciplinary', 'Biomedical & Biomechanical Engineering', 'Advanced Manufacturing & Devices', 'Materials & Solid Mechanics']","['abstract_missing_fallback_to_title', 'deformation pressure', 'seismology abstract_missing_fallback_to_title', 'rattlesnake hill', 'deformation abstract_missing_fallback_to_title', 'rock compaction', 'elastic diffusive', 'crust abstract_missing_fallback_to_title', 'compressive tectonic', 'compaction localization']","['CONDITIONS FOR THE LOCALIZATION OF DEFORMATION IN PRESSURE-SENSITIVE DILATANT MATERIALS', 'An Introduction to the Theory of Seismology', 'Variability in surface moisture content along a hillslope transect: Rattlesnake Hill, Texas']","Research areas: Thermal-Fluid & Transport Phenomena, Systems, Education & Interdisciplinary, Biomedical & Biomechanical Engineering. Key topics: abstract_missing_fallback_to_title, deformation pressure, seismology abstract_missing_fallback_to_title, rattlesnake hill, deformation abstract_missing_fallback_to_title, rock compaction. Representative papers: CONDITIONS FOR THE LOCALIZATION OF DEFORMATION IN PRESSURE-SENSITIVE DILATANT MATERIALS."
Jose Pons,NU,20,"['Biomedical & Biomechanical Engineering', 'Materials & Solid Mechanics', 'Robotics & Intelligent Systems', 'Thermal-Fluid & Transport Phenomena', 'Advanced Manufacturing & Devices']","['acetamidocinnamic acid', 'photophysical properties', 'metal detection', 'cd2 immunodetection', 'electrochemical detection', 'immunodevice cd2', 'tio2 nanophotocatalysts', 'complexes pyrazole', 'gold nanorods', 'pyridylpyrazole ligands']","['Recent trends in macro-, micro-, and nanomaterial-based tools and strategies for heavy-metal detection.', 'All-integrated and highly sensitive paper based device with sample treatment platform for Cd2+ immunodetection in drinking/tap waters.', 'Enhanced electrochemical detection of heavy metals at heated graphite nanoparticle-based screen-printed electrodes']","Research areas: Biomedical & Biomechanical Engineering, Materials & Solid Mechanics, Robotics & Intelligent Systems. Key topics: acetamidocinnamic acid, photophysical properties, metal detection, cd2 immunodetection, electrochemical detection, immunodevice cd2. Representative papers: Recent trends in macro-, micro-, and nanomaterial-based tools and strategies for heavy-metal detection.."
Julio M. Ottino,NU,20,"['Thermal-Fluid & Transport Phenomena', 'Robotics & Intelligent Systems', 'Systems, Education & Interdisciplinary', 'Biomedical & Biomechanical Engineering', 'Materials & Solid Mechanics']","['granular flows', 'chaotic mixing', 'percolation velocity', 'element method', 'kinematics mixing', 'turbulent mixing', 'mixing microfluidics', 'systems abstract_missing_fallback_to_title', 'networks abstract_missing_fallback_to_title', 'chaotic flows']","['The Kinematics of Mixing: Stretching, Chaos, and Transport', 'Mixing and Segregation of Granular Materials', 'Mixing, chaotic advection, and turbulence']","Research areas: Thermal-Fluid & Transport Phenomena, Robotics & Intelligent Systems, Systems, Education & Interdisciplinary. Key topics: granular flows, chaotic mixing, percolation velocity, element method, kinematics mixing, turbulent mixing. Representative papers: The Kinematics of Mixing: Stretching, Chaos, and Transport."
Junsoo Kim,NU,20,"['Thermal-Fluid & Transport Phenomena', 'Materials & Solid Mechanics', 'Robotics & Intelligent Systems', 'Systems, Education & Interdisciplinary', 'Biomedical & Biomechanical Engineering']","['abstract_missing_fallback_to_title', 'temperature combustion', 'hydrogen mixture', 'fuel alternative', 'ship propeller', 'bio heavy', 'stroke marine', 'fuels combustion', 'diesel dual', 'fuel injection']","['Effects of Various Fuels on Combustion and Emission Characteristics of a Four-Stroke Dual-Fuel Marine Engine', 'A Numerical Study on the Combustion Process and Emission Characteristics of a Natural Gas-Diesel Dual-Fuel Marine Engine at Full Load', 'Feasibility study on bio-heavy fuel as an alternative for marine fuel']","Research areas: Thermal-Fluid & Transport Phenomena, Materials & Solid Mechanics, Robotics & Intelligent Systems. Key topics: abstract_missing_fallback_to_title, temperature combustion, hydrogen mixture, fuel alternative, ship propeller, bio heavy. Representative papers: Effects of Various Fuels on Combustion and Emission Characteristics of a Four-Stroke Dual-Fuel Marine Engine."
Kevin Lynch,NU,20,"['Biomedical & Biomechanical Engineering', 'Materials & Solid Mechanics', 'Systems, Education & Interdisciplinary']","['sphingosine kinase', 's1p1 receptor', 'spns2 inhibitor', 'sphingosine phosphate', 'phosphate s1p', 'receptor abstract_missing_fallback_to_title', 'leukotriene cyslt1', 'cells meninges', 'cysteinyl leukotriene', 'lysophospholipid receptor']","['The Immune Modulator FTY720 Targets Sphingosine 1-Phosphate Receptors*', 'Characterization of the human cysteinyl leukotriene CysLT1 receptor', 'Regulation of learning and memory by meningeal immunity: a key role for IL-4']","Research areas: Biomedical & Biomechanical Engineering, Materials & Solid Mechanics, Systems, Education & Interdisciplinary. Key topics: sphingosine kinase, s1p1 receptor, spns2 inhibitor, sphingosine phosphate, phosphate s1p, receptor abstract_missing_fallback_to_title. Representative papers: The Immune Modulator FTY720 Targets Sphingosine 1-Phosphate Receptors*."
Kornel Ehmann,NU,20,"['Robotics & Intelligent Systems', 'Materials & Solid Mechanics', 'Thermal-Fluid & Transport Phenomena', 'Systems, Education & Interdisciplinary', 'Advanced Manufacturing & Devices']","['abstract_missing_fallback_to_title', 'vibration texturing', 'recurrent neural', 'machining microscale', 'plasticity formulations', 'machining cfrps', 'dynamic cutting', 'additive manufacturing', 'cutting forces', 'groove machining']","['The Mechanics of Machining at the Microscale: Assessment of the Current State of the Science', 'Deep learning predicts path-dependent plasticity', 'Machining of Carbon Fiber Reinforced Plastics/Polymers: A Literature Review']","Research areas: Robotics & Intelligent Systems, Materials & Solid Mechanics, Thermal-Fluid & Transport Phenomena. Key topics: abstract_missing_fallback_to_title, vibration texturing, recurrent neural, machining microscale, plasticity formulations, machining cfrps. Representative papers: The Mechanics of Machining at the Microscale: Assessment of the Current State of the Science."
Malcolm A MacIver,NU,20,"['Systems, Education & Interdisciplinary', 'Robotics & Intelligent Systems', 'Materials & Solid Mechanics', 'Thermal-Fluid & Transport Phenomena', 'Biomedical & Biomechanical Engineering']","['electric fish', 'abstract_missing_fallback_to_title', 'neuroscience needs', 'sensory acquisition', 'fish motion', 'propulsion abstract_missing_fallback_to_title', 'robotic knifefish', 'ergodic exploration', 'maneuverability stability', 'zebrafish abstract_missing_fallback_to_title']","['Neuroscience Needs Behavior: Correcting a Reductionist Bias', 'Prey capture in the weakly electric fish Apteronotus albifrons: sensory acquisition strategies and electrosensory consequences.', 'Sensory acquisition in active sensing systems']","Research areas: Systems, Education & Interdisciplinary, Robotics & Intelligent Systems, Materials & Solid Mechanics. Key topics: electric fish, abstract_missing_fallback_to_title, neuroscience needs, sensory acquisition, fish motion, propulsion abstract_missing_fallback_to_title. Representative papers: Neuroscience Needs Behavior: Correcting a Reductionist Bias."
Manohar Kulkarni,NU,20,"['Biomedical & Biomechanical Engineering', 'Robotics & Intelligent Systems', 'Thermal-Fluid & Transport Phenomena', 'Advanced Manufacturing & Devices', 'Materials & Solid Mechanics']","['coumarinyl triazoles', 'coumarin derivatives', 'mycobacterium tuberculosis', 'abstract_missing_fallback_to_title', 'derivative abstract_missing_fallback_to_title', 'coumarins phenolic', 'azidomethyl coumarin', 'polycyclic coumarins', 'heterocyclic coumarin', 'imidazo thiadiazoles']","['Recent advances in coumarins and 1-azacoumarins as versatile biodynamic agents.', 'Synthesis and antimicrobial studies on novel sulfonamides containing 4-azidomethyl coumarin.', 'Synthesis and biological evaluation of novel angularly fused polycyclic coumarins.']","Research areas: Biomedical & Biomechanical Engineering, Robotics & Intelligent Systems, Thermal-Fluid & Transport Phenomena. Key topics: coumarinyl triazoles, coumarin derivatives, mycobacterium tuberculosis, abstract_missing_fallback_to_title, derivative abstract_missing_fallback_to_title, coumarins phenolic. Representative papers: Recent advances in coumarins and 1-azacoumarins as versatile biodynamic agents.."
Matthew J Major,NU,20,"['Biomedical & Biomechanical Engineering', 'Thermal-Fluid & Transport Phenomena', 'Robotics & Intelligent Systems', 'Materials & Solid Mechanics', 'Advanced Manufacturing & Devices']","['transtibial prosthesis', 'prosthesis users', 'limb amputation', 'prosthetic ankle', 'kinematic variability', 'medicare functional', 'falls reported', 'prosthesis stiffness', 'walking stability', 'limb kinetics']","['Validity and reliability of the Berg Balance Scale for community-dwelling persons with lower-limb amputation.', 'The effects of prosthetic ankle stiffness on ankle and knee kinematics, prosthetic limb loading, and net metabolic cost of trans-tibial amputee gait.', 'Comparison of range-of-motion and variability in upper body movements between transradial prosthesis users and able-bodied controls when executing goal-oriented tasks']","Research areas: Biomedical & Biomechanical Engineering, Thermal-Fluid & Transport Phenomena, Robotics & Intelligent Systems. Key topics: transtibial prosthesis, prosthesis users, limb amputation, prosthetic ankle, kinematic variability, medicare functional. Representative papers: Validity and reliability of the Berg Balance Scale for community-dwelling persons with lower-limb amputation.."
Michael Peshkin,NU,20,"['Robotics & Intelligent Systems', 'Systems, Education & Interdisciplinary', 'Advanced Manufacturing & Devices', 'Thermal-Fluid & Transport Phenomena']","['kinematics cobots', 'cobot robotic', 'haptic interface', 'reinnervation amputees', 'interaction abstract_missing_fallback_to_title', 'robot teams', 'workpiece abstract_missing_fallback_to_title', 'exoskeleton abstract_missing_fallback_to_title', 'planning manipulation', 'kineassist robotic']","['Cobot architecture', 'Cobots: Robots for Collaboration With Human Operators', 'T-PaD: Tactile Pattern Display through Variable Friction Reduction']","Research areas: Robotics & Intelligent Systems, Systems, Education & Interdisciplinary, Advanced Manufacturing & Devices. Key topics: kinematics cobots, cobot robotic, haptic interface, reinnervation amputees, interaction abstract_missing_fallback_to_title, robot teams. Representative papers: Cobot architecture."
Michael Rubenstein,NU,20,"['Robotics & Intelligent Systems', 'Systems, Education & Interdisciplinary', 'Advanced Manufacturing & Devices', 'Materials & Solid Mechanics', 'Thermal-Fluid & Transport Phenomena']","['swarm robots', 'locomotion superbot', 'robotic swarms', 'robots abstract_missing_fallback_to_title', 'shape quickly', 'tasks concurrently', 'swarms robots', 'robot collective', 'robot scalable', 'robots transport']","['Programmable self-assembly in a thousand-robot swarm', 'Kilobot: A low cost scalable robot system for collective behaviors', 'Multimode locomotion via SuperBot reconfigurable robots']","Research areas: Robotics & Intelligent Systems, Systems, Education & Interdisciplinary, Advanced Manufacturing & Devices. Key topics: swarm robots, locomotion superbot, robotic swarms, robots abstract_missing_fallback_to_title, shape quickly, tasks concurrently. Representative papers: Programmable self-assembly in a thousand-robot swarm."
Mitra J. Hartmann,NU,20,"['Thermal-Fluid & Transport Phenomena', 'Biomedical & Biomechanical Engineering', 'Robotics & Intelligent Systems', 'Systems, Education & Interdisciplinary', 'Materials & Solid Mechanics']","['whisker movements', 'robotic whiskers', 'cerebellar hemispheres', 'whisker tactile', 'locomotion lamprey', 'sensory signals', 'tactile exploration', 'haptic cooperation', 'tactile responses', 'whisking velocity']","['Right–Left Asymmetries in the Whisking Behavior of Rats Anticipate Head Movements', 'Biomechanics: Robotic whiskers used to sense features', 'Oscillatory activity in the cerebellar hemispheres of unrestrained rats.']","Research areas: Thermal-Fluid & Transport Phenomena, Biomedical & Biomechanical Engineering, Robotics & Intelligent Systems. Key topics: whisker movements, robotic whiskers, cerebellar hemispheres, whisker tactile, locomotion lamprey, sensory signals. Representative papers: Right–Left Asymmetries in the Whisking Behavior of Rats Anticipate Head Movements."
Naichen Shi,NU,20,"['Robotics & Intelligent Systems', 'Thermal-Fluid & Transport Phenomena', 'Materials & Solid Mechanics', 'Systems, Education & Interdisciplinary', 'Biomedical & Biomechanical Engineering']","['matrix factorization', 'adam converge', 'federated learning', 'dictionary learning', 'process signature', 'tensor decomposition', 'stochastic gradients', 'heterogeneous datasets', 'detection abstract_missing_fallback_to_title', 'auto encoders']","['Adam Can Converge Without Any Modification on Update Rules', 'RMSprop converges with proper hyper-parameter', 'The Internet of Federated Things (IoFT)']","Research areas: Robotics & Intelligent Systems, Thermal-Fluid & Transport Phenomena, Materials & Solid Mechanics. Key topics: matrix factorization, adam converge, federated learning, dictionary learning, process signature, tensor decomposition. Representative papers: Adam Can Converge Without Any Modification on Update Rules."
Neelesh A. Patankar,NU,20,"['Robotics & Intelligent Systems', 'Materials & Solid Mechanics', 'Thermal-Fluid & Transport Phenomena', 'Biomedical & Biomechanical Engineering', 'Advanced Manufacturing & Devices']","['particulate flows', 'wilson cowan', 'hydrophobic contact', 'designing superhydrophobic', 'simulations fluid', 'superhydrophobic rough', 'hydrophobic rough', 'superhydrophobic surfaces', 'electroosmotic flow', 'immersed finite']","['On the Modeling of Hydrophobic Contact Angles on Rough Surfaces', 'Mimicking the lotus effect: influence of double roughness structures and slender pillars.', 'Direct numerical simulations of fluid-solid systems using the arbitrary Langrangian-Eulerian technique']","Research areas: Robotics & Intelligent Systems, Materials & Solid Mechanics, Thermal-Fluid & Transport Phenomena. Key topics: particulate flows, wilson cowan, hydrophobic contact, designing superhydrophobic, simulations fluid, superhydrophobic rough. Representative papers: On the Modeling of Hydrophobic Contact Angles on Rough Surfaces."
Oluwaseyi Balogun,NU,20,"['Robotics & Intelligent Systems', 'Thermal-Fluid & Transport Phenomena', 'Materials & Solid Mechanics', 'Biomedical & Biomechanical Engineering', 'Advanced Manufacturing & Devices']","['abstract_missing_fallback_to_title', 'acoustic microscopy', 'conductivity grain', 'hydrogel beads', 'thermal imaging', 'biocatalyst functionality', 'thermoelectric snte', 'crosslinking ph', 'ultrasonic technique', 'plates laser']","['Laser-based ultrasonic generation and detection of zero-group velocity Lamb waves in thin plates', 'Simulation and measurement of the optical excitation of the S1 zero group velocity Lamb wave resonance in plates', 'Adaptive Fiber Bragg Grating Sensor Network for Structural Health Monitoring: Applications to Impact Monitoring']","Research areas: Robotics & Intelligent Systems, Thermal-Fluid & Transport Phenomena, Materials & Solid Mechanics. Key topics: abstract_missing_fallback_to_title, acoustic microscopy, conductivity grain, hydrogel beads, thermal imaging, biocatalyst functionality. Representative papers: Laser-based ultrasonic generation and detection of zero-group velocity Lamb waves in thin plates."
Petia M. Vlahovska,NU,20,"['Robotics & Intelligent Systems', 'Materials & Solid Mechanics', 'Thermal-Fluid & Transport Phenomena', 'Biomedical & Biomechanical Engineering', 'Systems, Education & Interdisciplinary']","['electrohydrodynamics drops', 'blood cells', 'membrane modeled', 'fields abstract_missing_fallback_to_title', 'charge dynamics', 'electrolyte concentrations', 'retinoid antibiotics', 'vesicle electrofusion', 'mrsa membrane', 'modeling vesicles']","['A new class of synthetic retinoid antibiotics effective against bacterial persisters', 'Electrohydrodynamics of drops in strong uniform dc electric fields', 'Vesicles in electric fields: Some novel aspects of membrane behavior']","Research areas: Robotics & Intelligent Systems, Materials & Solid Mechanics, Thermal-Fluid & Transport Phenomena. Key topics: electrohydrodynamics drops, blood cells, membrane modeled, fields abstract_missing_fallback_to_title, charge dynamics, electrolyte concentrations. Representative papers: A new class of synthetic retinoid antibiotics effective against bacterial persisters."
Ping Guo,NU,20,"['Materials & Solid Mechanics', 'Biomedical & Biomechanical Engineering', 'Robotics & Intelligent Systems', 'Thermal-Fluid & Transport Phenomena', 'Advanced Manufacturing & Devices']","['software classification', 'imaging fibroblast', 'ultrasonic machining', 'associations gastrointestinal', 'tomato yield', 'cluster number', 'networks abstract_missing_fallback_to_title', 'nanozyme fe3o4', 'composite lithium', 'steel rods']","['A novel method for early software quality prediction based on support vector machine', 'Imaging fibroblast activation protein in liver cancer: a single-center post hoc retrospective analysis to compare [68Ga]Ga-FAPI-04 PET/CT versus MRI and [18F]-FDG PET/CT', 'Damage formation and suppression in rotary ultrasonic machining of hard and brittle materials: A critical review']","Research areas: Materials & Solid Mechanics, Biomedical & Biomechanical Engineering, Robotics & Intelligent Systems. Key topics: software classification, imaging fibroblast, ultrasonic machining, associations gastrointestinal, tomato yield, cluster number. Representative papers: A novel method for early software quality prediction based on support vector machine."
Q. Jane Wang,NU,20,"['Thermal-Fluid & Transport Phenomena', 'Materials & Solid Mechanics', 'Robotics & Intelligent Systems', 'Systems, Education & Interdisciplinary', 'Advanced Manufacturing & Devices']","['elastohydrodynamic lubrication', 'friction abstract_missing_fallback_to_title', 'inclusions abstract_missing_fallback_to_title', 'lubrication point', 'film thickness', 'shear thinning', 'plastic stresses', 'dendrites lithium', 'dimples friction', 'cuboidal inclusion']","['Contact mechanics and friction', 'A review of recent works on inclusions', 'A Three-Dimensional Deterministic Model for Rough Surface Line-Contact EHL Problems']","Research areas: Thermal-Fluid & Transport Phenomena, Materials & Solid Mechanics, Robotics & Intelligent Systems. Key topics: elastohydrodynamic lubrication, friction abstract_missing_fallback_to_title, inclusions abstract_missing_fallback_to_title, lubrication point, film thickness, shear thinning. Representative papers: Contact mechanics and friction."
Richard M. Lueptow,NU,20,"['Thermal-Fluid & Transport Phenomena', 'Biomedical & Biomechanical Engineering', 'Materials & Solid Mechanics', 'Robotics & Intelligent Systems', 'Systems, Education & Interdisciplinary']","['molecular dynamics', 'granular flow', 'membranes nanofiltration', 'tio2 photocatalysis', 'organic contaminants', 'density granular', 'vortex flow', 'vortices axial', 'osmosis membranes', 'vortices axially']","['Photoreactive TiO2/carbon nanotube composites: synthesis and reactivity.', 'Removal of organic contaminants by RO and NF membranes.', 'Regimes of segregation and mixing in combined size and density granular systems: an experimental study']","Research areas: Thermal-Fluid & Transport Phenomena, Biomedical & Biomechanical Engineering, Materials & Solid Mechanics. Key topics: molecular dynamics, granular flow, membranes nanofiltration, tio2 photocatalysis, organic contaminants, density granular. Representative papers: Photoreactive TiO2/carbon nanotube composites: synthesis and reactivity.."
